Name,SMILES
46,c1ccc(O)c(O)c1C(=O)NCCCN(C(=O)[C@H]([C@@H](C)O)NC(=O)c2c([O-])c(O)ccc2)CCCCNC(=O)c3c(O)c(O)ccc3
47,c1ccc(O)c([O-])c1C(=O)NCCCN(C(=O)[C@H]([C@@H](C)O)NC(=O)c2c(O)c(O)ccc2)CCCCNC(=O)c3c(O)c(O)ccc3
48,c1ccc(O)c(O)c1C(=O)NCCCN(C(=O)[C@H]([C@@H](C)O)NC(=O)c2c(O)c(O)ccc2)CCCCNC(=O)c3c([O-])c(O)ccc3
49,c1cc(=O)n(C)c(=O)n1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
50,O=C(N)/N=c(cc1)\n(C)c(=O)n1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
51,O=C(N)Nc(cc1)n(C)c(=O)[n+]1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
52,c1cc(=N\[H])\n(C)c(=O)n1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
53,c1cc(N)n(C)c(=O)[n+]1[C@@H]([C@H](O)[C@@H]2O)S[C@@H]2[C@@H](O)[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)[C@@H](N)CCCN(O)C(=O)C
54,ON1CC[C@H](O)CNC(=O)CCC(=O)N(O)CC[C@H](O)CNC(=O)CCC1=O
55,c1ccc(O)c(O)c1C(=O)NCCCC[C@H]([NH3+])[C@@H](O)CC(=O)N[C@H]2COC(=O)[C@H]([C@H](O)C([O-])=O)NC(=O)CNC(=O)[C@H]([C@H](O)C([O-])=O)NC(=O)[C@@H](NC(=O)CNC2=O)CCCNC(N)=[NH2+]
56,c1ccc(O)c(O)c1C(=O)NCCCC[C@@H]([NH3+])[C@@H](O)CC(=O)N[C@H](CO)C(=O)NCC(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N[C@@H]([C@H](O)C([O-])=O)C(=O)NCC(=O)N[C@H](C([O-])=O)[C@H](O)C([O-])=O
57,c1ccc(O)c(O)c1C(=O)NCCCC[NH3+]
58,c1ccc(O)c(O)c1C(=O)NCCCC[C@@H](C(=O)N[C@H](C([O-])=O)Cc2ccccc2)NC(=O)[C@@H]([NH3+])CCCCNC(=O)CNC(=O)c3c(O)c(O)ccc3
59,c1cccc(c12)[nH]cc2C[C@@H](C([O-])=O)NC(=O)[C@H](CCCCNC(=O)c3c(O)c(O)ccc3)NC(=O)[C@@H]([NH3+])CCCCNC(=O)CNC(=O)c4c(O)c(O)ccc4
60,c1ccc(O)c(O)c1C(=O)NCCCC[C@@H](C(=O)N[C@@H](C([O-])=O)Cc2ccccc2)NC(=O)[C@@H]([NH3+])CCCCNC(=O)c3c(O)c(O)ccc3
61,c1cccc(c12)[nH]cc2C[C@@H](C([O-])=O)NC(=O)[C@H](CCCCNC(=O)c3c(O)c(O)ccc3)NC(=O)[C@@H]([NH3+])CCCCNC(=O)c4c(O)c(O)ccc4
